anyy;ipc;salari;RendaLlar;TxAturJoves
2023;111,7;29978,69;26,8;22,4
2022;108,0;28774,55;22,7;24,4
2021;100,0;28145,02;27,9;28,9
2020;97,2;27100,11;27,4;34,0
2019;97,6;25968,2;24,1;26,2
2018;96,7;25552,84;24,9;27,7
2017;95,0;25180,45;29,7;30,4
2016;93,0;24454,64;25,1;34,3
2015;92,9;24321,57;21,7;42,3
2014;93,1;23927,17;21,6;47,1
2013;92,9;24253,73;21,2;50,2
2012;91,4;24436,39;0,0;50,4
2011;88,8;24499,32;0,0;43,8
2010;86,0;24449,19;0,0;39,1
2009;84,3;23851,31;;
2008;84,1;23375,54;;
2007;80,8;21998,1;;
2006;78,5;21210,04;;
2005;75,7;20067,13;;
2004;72,9;19750,11;;
