anyy;nom_agrup;ord_any;id_agrup;salari;status
2023;Salari brut anual mitjà;1;1;29978,69;
2023;Menys de 25 anys;1;2;15639,0;
2023;De 25 a 34 anys;1;3;25879,12;
2023;De 35 a 44 anys;1;4;30572,04;
2023;De 45 a 54 anys;1;5;32359,07;
2023;De 55 anys i més;1;6;33304,09;
2022;Salari brut anual mitjà;2;1;28774,55;
2022;Menys de 25 anys;2;2;15001,74;
2022;De 25 a 34 anys;2;3;24888,04;
2022;De 35 a 44 anys;2;4;29555,84;
2022;De 45 a 54 anys;2;5;31513,6;
2022;De 55 anys i més;2;6;31080,63;
2021;Salari brut anual mitjà;3;1;28145,02;
2021;Menys de 25 anys;3;2;13218,66;
2021;De 25 a 34 anys;3;3;23026,1;
2021;De 35 a 44 anys;3;4;28220,68;
2021;De 45 a 54 anys;3;5;30941,02;
2021;De 55 anys i més;3;6;30995,02;
2020;Salari brut anual mitjà;4;1;27100,11;
2020;Menys de 25 anys;4;2;13393,5;
2020;De 25 a 34 anys;4;3;22338,55;
2020;De 35 a 44 anys;4;4;27340,77;
2020;De 45 a 54 anys;4;5;29854,86;
2020;De 55 anys i més;4;6;29732,31;
2019;Salari brut anual mitjà;5;1;25968,2;
2019;Menys de 25 anys;5;2;13070,69;
2019;De 25 a 34 anys;5;3;21656,58;
2019;De 35 a 44 anys;5;4;26755,81;
2019;De 45 a 54 anys;5;5;28446,07;
2019;De 55 anys i més;5;6;28824,02;
2018;Salari brut anual mitjà;6;1;25552,84;
2018;Menys de 25 anys;6;2;13020,99;
2018;De 25 a 34 anys;6;3;21621,47;
2018;De 35 a 44 anys;6;4;26803,12;
2018;De 45 a 54 anys;6;5;27552,72;
2018;De 55 anys i més;6;6;27918,39;
2017;Salari brut anual mitjà;7;1;25180,45;
2017;Menys de 25 anys;7;2;11183,93;
2017;De 25 a 34 anys;7;3;20295,36;
2017;De 35 a 44 anys;7;4;26048,05;
2017;De 45 a 54 anys;7;5;27398,9;
2017;De 55 anys i més;7;6;27591,41;
2016;Salari brut anual mitjà;8;1;24454,64;
2016;Menys de 25 anys;8;2;10809,83;
2016;De 25 a 34 anys;8;3;19522,21;
2016;De 35 a 44 anys;8;4;25255,98;
